fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,extraction_rate_count,waste_of_supply_mean,waste_of_supply_min,waste_of_supply_max,waste_of_supply_std,waste_of_supply_count,extraction_rate_flag,waste_of_supply_flag
889,milk_whole_condensed,0.3157142857142857,0.24,0.43,0.0658336231272891,14,NA,NA,NA,NA,0,1,0
890,whey_condensed,0.44741935483870965,0.2,2.75,0.49845071800486956,31,NA,NA,NA,NA,0,1,0
894,milk_whole_evaporated,0.4959090909090909,0.17,5.5,0.7763459974923618,44,NA,NA,NA,NA,0,1,0
897,milk_whole_dried,0.116,0.1,0.13,0.01055597325823495,15,NA,NA,NA,NA,0,1,0
900,whey_dry,0.5435294117647059,0.45,0.86,0.0838854260636635,17,NA,NA,NA,NA,0,1,0
901,cheese_whole_cow_milk,0.12942696629213482,0.08,0.38,0.03938212782250847,89,NA,NA,NA,NA,0,1,0
907,cheese_processed,0.127,0.08,0.2,0.05167204273105526,5,NA,NA,NA,NA,0,1,0
919,hides_cattle_fresh,0.06903125,0.012,0.11,0.017371774328118775,128,NA,NA,NA,NA,0,1,0
920,hides_cattle_wet_salted,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
922,hides_nes_cattle,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
928,skins_calve_wet_salted,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
930,skins_nes_calves,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
946,buffaloes,0.4925,0.44,0.6,0.03403961886058527,24,NA,NA,NA,NA,0,1,0
953,ghee_buffalo_milk,0.05900000000000001,0.05,0.071,0.01063014581273465,5,NA,NA,NA,NA,0,1,0
976,sheep,0.48872928176795577,0.36,0.75,0.04764496795200879,181,NA,NA,NA,NA,0,1,0
977,meat_sheep,0.02394871794871795,0.006999999999999999,0.16,0.018511807114717883,117,NA,NA,NA,NA,0,1,0
978,offals_sheep_edible,0.08924444444444445,0.019,0.19,0.03135249622028056,180,NA,NA,NA,NA,0,1,0
984,cheese_sheep_milk,0.19914285714285715,0.11,0.33,0.05430693968066137,35,NA,NA,NA,NA,0,1,0
987,wool_greasy,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1016,goats,0.4917283950617284,0.31,1.15,0.07440513779523178,162,NA,NA,NA,NA,0,1,0
1018,offals_edible_goats,0.06483606557377049,0.01,0.24,0.03659243106065736,61,NA,NA,NA,NA,0,1,0
1031,hair_goat_coarse,0.09077777777777779,0.024,0.19,0.037313545175911275,18,NA,NA,NA,NA,0,1,0
1034,pigs,0.724406779661017,0.5,0.93,0.06964042027151489,177,NA,NA,NA,NA,0,1,0
1036,offals_pigs_edible,0.052101449275362324,0.019,0.15,0.025703613837505943,138,NA,NA,NA,NA,0,1,0
1037,fat_pigs,0.0544034090909091,0.002,0.36,0.03516055890621483,176,NA,NA,NA,NA,0,1,0
1043,lard,0.47,0.47,0.47,0.0,17,NA,NA,NA,NA,0,1,0
1057,chickens,0.7486734693877551,0.55,0.97,0.053591766591176676,196,NA,NA,NA,NA,0,1,0
1059,offals_liver_chicken,0.078,0.011000000000000001,0.12,0.034003676271838604,9,NA,NA,NA,NA,0,1,0
1062,eggs_hen_in_shell,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1064,eggs_dried,0.19999999999999998,0.15,0.25,0.044721359549995794,6,NA,NA,NA,NA,0,1,0
1068,ducks,0.7557142857142857,0.7,0.84,0.05061526214398937,7,NA,NA,NA,NA,0,1,0
1079,turkeys,0.7780701754385965,0.61,0.94,0.059475042679718905,57,NA,NA,NA,NA,0,1,0
1096,horses,0.49875,0.34,0.71,0.044813777433812964,72,NA,NA,NA,NA,0,1,0
1097,meat_horse,0.044333333333333336,0.022000000000000002,0.07,0.015476556772221964,15,NA,NA,NA,NA,0,1,0
1107,asses,NA,NA,NA,NA,0,0.09122727272727273,0.02,0.3,0.0545444900847134,66,0,1
1126,camels,0.4813636363636364,0.35,0.69,0.0750425564688816,22,NA,NA,NA,NA,0,1,0
1129,fat_camels,0.020112676056338027,0.006,0.063,0.011690715847292367,71,NA,NA,NA,NA,0,1,0
1164,meat_dried_nes,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1168,oils_fats_of_animal_nes,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1172,meat_prepared,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1173,meal_meat,0.8516666666666667,0.65,0.9,0.0698106683234354,18,0.01888888888888889,0.01,0.02,0.0033333333333333335,9,1,1
1181,beehives,NA,NA,NA,NA,0,0.12058823529411766,0.05,0.27,0.06087595874350708,17,0,1
1216,hides_nes,0.1833076923076923,0.083,0.25,0.0563225600379703,13,0.06756000000000001,0.01,0.15,0.036635683879700315,25,1,1
1225,tallow,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1241,margarine_liquid,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1242,margarine_short,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1243,fat_nes_prepared,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1274,oil_boiled_etc,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1275,hydrogenate_fat_oil,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
1276,fatty_acids,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
